what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.StepOver,1226165277859
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.VariableView,1226165286625
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1226165288953
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1226165292687
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.StepOver,1226165292781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226165310140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226165310156
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226165310234
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226165451984
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1226165452781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226165455718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226165455718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226165455796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226165458921
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1226165459828
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Resume,1226165459906
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Resume,1226165461406
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Resume,1226165461843
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Resume,1226165462437
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Resume,1226165462875
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Resume,1226165463296
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Resume,1226165463781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226165466296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226165811671
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1226165814750
