what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227567031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227569000
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227576531
started,bundle,org.eclipse.help.base,3.3.101.M20080728_34x,org.eclipse.help.base,1226227578250
started,bundle,org.eclipse.help.ui,3.3.101.M20080715_34x,org.eclipse.help.ui,1226227578406
started,bundle,org.eclipse.ui.cheatsheets,3.3.101.v20080702_34x,org.eclipse.ui.cheatsheets,1226227578640
started,bundle,org.eclipse.ui.intro,3.2.201.v20080702_34x,org.eclipse.ui.intro,1226227578718
opened,view,org.eclipse.help.ui,3.3.101.M20080715_34x,org.eclipse.help.ui.HelpView,1226227578921
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1226227578968
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1226227579031
activated,view,org.eclipse.help.ui,3.3.101.M20080715_34x,org.eclipse.help.ui.HelpView,1226227579203
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227580718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227582421
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1226227582500
closed,view,org.eclipse.help.ui,3.3.101.M20080715_34x,org.eclipse.help.ui.HelpView,1226227582500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227582812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227592765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227593765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227597015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227601015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227628375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227631468
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227870593
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227887171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226227920812
