what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1226160746390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226160752296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226160762125
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226160767140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226160767140
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226160767218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226160771140
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226160773484
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226160775343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226160778218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226160778625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226160779062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226160786843
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1226160786859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226160814437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226160827093
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1226160830406
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.VariableView,1226160830500
opened,view,com.android.ide.eclipse.ddms,0.8.0.v200809220836-110569,com.android.ide.eclipse.ddms.views.LogCatView,1226160830625
activated,perspective,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugPerspective,1226160830687
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1226160830703
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1226160833906
executed,command,,,AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction,1226160836500
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1226160838406
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1226160839015
